"address_id","address","address2","district","city_id","postal_code","phone","location","last_update"
1.00,"47 MySakila Drive",,"Alberta",300.00,"","","POINT (-112.8185647 49.6999986)",9/25/2014 22:30:27
2.00,"28 MySQL Boulevard",,"QLD",576.00,"","","POINT (153.1408538 -27.6333361)",9/25/2014 22:30:09
3.00,"23 Workhaven Lane",,"Alberta",300.00,"","14033335568","POINT (-112.8185673 49.6999951)",9/25/2014 22:30:27
4.00,"1411 Lillydale Drive",,"QLD",576.00,"","6172235589","POINT (153.1913094 -27.6333373)",9/25/2014 22:30:09
5.00,"1913 Hanoi Way","","Nagasaki",463.00,"35200","28303384290","POINT (129.7227851 33.1591726)",9/25/2014 22:31:53
6.00,"1121 Loja Avenue","","California",449.00,"17886","838635286649","POINT (-117.2897714 34.1083428)",9/25/2014 22:34:01
7.00,"692 Joliet Street","","Attika",38.00,"83579","448477190408","POINT (23.7162294 37.9794508)",9/25/2014 22:31:07
8.00,"1566 Inegl Manor","","Mandalay",349.00,"53561","705814003527","POINT (95.3884368 21.4600272)",9/25/2014 22:32:18
9.00,"53 Idfu Parkway","","Nantou",361.00,"42399","10655648674","POINT (120.6638785 23.9156685)",9/25/2014 22:33:16
10.00,"1795 Santiago de Compostela Way","","Texas",295.00,"18743","860452626434","POINT (-99.5075448 27.5064117)",9/25/2014 22:33:55
11.00,"900 Santiago de Compostela Parkway","","Central Serbia",280.00,"93896","716571220373","POINT (0 0)",9/25/2014 22:34:11
12.00,"478 Joliet Way","","Hamilton",200.00,"77948","657282285970","POINT (175.2833399 -37.7833313)",9/25/2014 22:32:22
13.00,"613 Korolev Drive","","Masqat",329.00,"45844","380657522649","POINT (58.5922971 23.6138798)",9/25/2014 22:32:29
14.00,"1531 Sal Drive","","Esfahan",162.00,"53628","648856936185","POINT (51.6746246 32.6524674)",9/25/2014 22:31:36
15.00,"1542 Tarlac Parkway","","Kanagawa",440.00,"1027","635297277345","POINT (139.3589644 35.5557889)",9/25/2014 22:31:53
16.00,"808 Bhopal Manor","","Haryana",582.00,"10672","465887807014","POINT (0 0)",9/25/2014 22:31:30
17.00,"270 Amroha Parkway","","Osmaniye",384.00,"29610","695479687538","POINT (36.2477824 37.0741756)",9/25/2014 22:33:27
18.00,"770 Bydgoszcz Avenue","","California",120.00,"16266","517338314235","POINT (-121.2810649 38.7071296)",9/25/2014 22:33:47
19.00,"419 Iligan Lane","","Madhya Pradesh",76.00,"72878","990911107354","POINT (77.4028938 23.2546953)",9/25/2014 22:31:13
20.00,"360 Toulouse Parkway","","England",495.00,"54308","949312333307","POINT (0.7143363 51.5378203)",9/25/2014 22:33:40
21.00,"270 Toulon Boulevard","","Kalmykia",156.00,"81766","407752414682","POINT (44.2558374 46.3077803)",9/25/2014 22:32:48
22.00,"320 Brest Avenue","","Kaduna",252.00,"43331","747791594069","POINT (7.4382858 10.5222412)",9/25/2014 22:32:25
23.00,"1417 Lancaster Avenue","","Northern Cape",267.00,"72192","272572357893","POINT (24.7623254 -28.7322674)",9/25/2014 22:33:03
24.00,"1688 Okara Way","","Nothwest Border Prov",327.00,"21954","144453869132","POINT (0 0)",9/25/2014 22:32:30
25.00,"262 A Corua (La Corua) Parkway","","Dhaka",525.00,"34418","892775750063","POINT (89.9165584 24.2498482)",9/25/2014 22:30:12
26.00,"28 Charlotte Amalie Street","","Rabat-Sal-Zammour-Z",443.00,"37551","161968374323","POINT (0 0)",9/25/2014 22:32:16
27.00,"1780 Hino Boulevard","","Liepaja",303.00,"7716","902731229323","POINT (21.0166781 56.5166715)",9/25/2014 22:31:58
28.00,"96 Tafuna Way","","Crdoba",128.00,"99865","934730187245","POINT (0 0)",9/25/2014 22:30:05
29.00,"934 San Felipe de Puerto Plata Street","","Sind",472.00,"99780","196495945706","POINT (68.6378981 27.9570677)",9/25/2014 22:32:31
30.00,"18 Duisburg Boulevard","","",121.00,"58327","998009777982","POINT (0 0)",9/25/2014 22:31:08
31.00,"217 Botshabelo Place","","Southern Mindanao",138.00,"49521","665356572025","POINT (0 0)",9/25/2014 22:32:36
32.00,"1425 Shikarpur Manor","","Bihar",346.00,"65599","678220867005","POINT (86.4735203 25.3755655)",9/25/2014 22:31:20
33.00,"786 Aurora Avenue","","Yamaguchi",474.00,"65750","18461860151","POINT (130.9570667 33.9587914)",9/25/2014 22:31:53
34.00,"1668 Anpolis Street","","Taipei",316.00,"50199","525255540978","POINT (0 0)",9/25/2014 22:33:15
35.00,"33 Gorontalo Way","","West Bengali",257.00,"30348","745994947458","POINT (88.3747238 22.6711153)",9/25/2014 22:31:18
36.00,"176 Mandaluyong Place","","Uttar Pradesh",239.00,"65213","627705991774","POINT (78.5822145 25.4544634)",9/25/2014 22:31:17
37.00,"127 Purnea (Purnia) Manor","","Piemonte",17.00,"79388","911872220378","POINT (8.6100757 44.9092442)",9/25/2014 22:31:42
38.00,"61 Tama Street","","Okayama",284.00,"94065","708403338270","POINT (133.7666798 34.5833369)",9/25/2014 22:31:49
39.00,"391 Callao Drive","","Midi-Pyrnes",544.00,"34021","440512153169","POINT (0 0)",9/25/2014 22:31:01
40.00,"334 Munger (Monghyr) Lane","","Markazi",31.00,"38145","481183273622","POINT (49.6891697 34.0917421)",9/25/2014 22:31:36
41.00,"1440 Fukuyama Loop","","Henan",362.00,"47929","912257250465","POINT (112.5327806 32.9947239)",9/25/2014 22:30:40
42.00,"269 Cam Ranh Parkway","","Chisinau",115.00,"34689","489783829737","POINT (28.8575834 47.0055601)",9/25/2014 22:32:15
43.00,"306 Antofagasta Place","","Esprito Santo",569.00,"3989","378318851631","POINT (0 0)",9/25/2014 22:30:23
44.00,"671 Graz Street","","Oriental",353.00,"94399","680768868518","POINT (-2.9335289 35.1681312)",9/25/2014 22:32:16
45.00,"42 Brindisi Place","","Yerevan",586.00,"16744","42384721397","POINT (44.5136157 40.1811198)",9/25/2014 22:30:08
46.00,"1632 Bislig Avenue","","Nonthaburi",394.00,"61117","471675840679","POINT (100.4988397 13.9130104)",9/25/2014 22:33:20
47.00,"1447 Imus Way","","Tahiti",167.00,"48942","539758313890","POINT (-149.6843672 -17.5546957)",9/25/2014 22:31:02
48.00,"1998 Halifax Drive","","Lipetsk",308.00,"76022","177727722820","POINT (39.5707653 52.6031163)",9/25/2014 22:32:54
49.00,"1718 Valencia Street","","Antofagasta",27.00,"37359","675292816413","POINT (-70.3954856 -23.6523691)",9/25/2014 22:30:29
50.00,"46 Pjatigorsk Lane","","Moscow (City)",343.00,"23616","262076994845","POINT (37.5386455 55.7488297)",9/25/2014 22:32:55
